datetime,actual_kwh,predicted_kwh,error
2027-08-08 04:00:00,772.17,746.95874,25.21125976562496
2027-08-08 05:00:00,752.03,769.6591,-17.629118652343777
2027-08-08 06:00:00,714.28,750.4311,-36.15109130859378
2027-08-08 07:00:00,745.88,731.5594,14.320612792968745
2027-08-08 08:00:00,1650.94,1649.0785,1.8615087890625546
2027-08-08 09:00:00,3322.54,3257.6882,64.85176757812496
2027-08-08 10:00:00,3500.59,3368.2224,132.36758789062515
2027-08-08 11:00:00,3103.11,3153.6582,-50.54820312499987
2027-08-08 12:00:00,4624.8,4485.863,138.93720703125018
2027-08-08 13:00:00,4415.21,4436.7837,-21.573691406249964
2027-08-08 14:00:00,4589.49,4524.5903,64.89966796874978
2027-08-08 15:00:00,3187.36,3290.4292,-103.06919921874987
2027-08-08 16:00:00,3242.96,3306.5383,-63.578330078124964
2027-08-08 17:00:00,4160.74,4230.252,-69.51195312500022
2027-08-08 18:00:00,4635.6,4622.7407,12.859277343750364
2027-08-08 19:00:00,4759.57,4716.0737,43.49626953124971
2027-08-08 20:00:00,3087.22,3219.2024,-131.9823925781252
2027-08-08 21:00:00,3115.33,3156.0596,-40.72957031250007
2027-08-08 22:00:00,624.7,667.9167,-43.216687011718705
2027-08-08 23:00:00,662.58,700.713,-38.13301269531246
2027-08-09 00:00:00,724.73,710.2882,14.441791992187518
2027-08-09 01:00:00,739.16,738.555,0.6050073242187182
2027-08-09 02:00:00,722.92,751.4052,-28.48521240234379
2027-08-09 03:00:00,734.24,756.56635,-22.32634521484374
2027-08-09 04:00:00,816.39,780.1127,36.277329101562486
2027-08-09 05:00:00,739.79,763.8923,-24.102272949218786
2027-08-09 06:00:00,741.43,738.7863,2.6436840820312
2027-08-09 07:00:00,724.73,737.9552,-13.225200195312482
2027-08-09 08:00:00,1730.31,1728.355,1.9550195312499454
2027-08-09 09:00:00,2532.32,2633.767,-101.44708984374984
2027-08-09 10:00:00,2579.09,2722.9277,-143.83773437499985
2027-08-09 11:00:00,2459.77,2557.894,-98.12404296875002
2027-08-09 12:00:00,3454.29,3468.3645,-14.074501953125036
2027-08-09 13:00:00,3185.42,3184.054,1.3660449218750728
2027-08-09 14:00:00,3494.31,3488.921,5.389101562499945
2027-08-09 15:00:00,2466.23,2513.0354,-46.80540039062498
2027-08-09 16:00:00,2646.25,2626.3875,19.862548828125
2027-08-09 17:00:00,3912.83,3787.9644,124.86564453124993
2027-08-09 18:00:00,3932.58,3903.2148,29.365156249999927
2027-08-09 19:00:00,3690.86,3647.6738,43.18617187500013
2027-08-09 20:00:00,2616.62,2557.8252,58.79480468749989
2027-08-09 21:00:00,2606.81,2581.4172,25.392763671874945
2027-08-09 22:00:00,677.93,654.4634,23.46662109374995
2027-08-09 23:00:00,673.88,673.2363,0.6436718749999955
2027-08-10 00:00:00,734.27,725.0126,9.257426757812482
2027-08-10 01:00:00,702.56,729.1333,-26.573300781250055
2027-08-10 02:00:00,751.18,748.9915,2.1884838867187
2027-08-10 03:00:00,746.72,742.8876,3.8324267578125273
2027-08-10 04:00:00,779.24,780.5373,-1.297292480468741
2027-08-10 05:00:00,729.12,736.02527,-6.9052685546874955
2027-08-10 06:00:00,737.1,746.4286,-9.328588867187477
2027-08-10 07:00:00,687.99,720.2899,-32.29991699218749
2027-08-10 08:00:00,1692.75,1661.611,31.1390380859375
2027-08-10 09:00:00,2277.59,2248.4185,29.171542968750146
2027-08-10 10:00:00,2611.2,2578.4568,32.74321289062482
2027-08-10 11:00:00,2526.95,2457.8413,69.10869140624982
2027-08-10 12:00:00,3691.58,3630.9497,60.63029296874993
2027-08-10 13:00:00,3637.52,3469.1162,168.40378906249998
2027-08-10 14:00:00,3711.53,3637.2031,74.3268750000002
2027-08-10 15:00:00,2563.39,2540.679,22.711044921874873
2027-08-10 16:00:00,2441.64,2511.8406,-70.20057617187513
2027-08-10 17:00:00,3691.88,3726.5857,-34.70569335937489
2027-08-10 18:00:00,3862.51,3861.8508,0.6591699218752183
2027-08-10 19:00:00,3863.08,3703.4888,159.59123046874993
2027-08-10 20:00:00,2586.79,2618.5144,-31.724404296875036
2027-08-10 21:00:00,2551.77,2561.295,-9.524921875000018
2027-08-10 22:00:00,633.8,664.9672,-31.167224121093795
2027-08-10 23:00:00,735.55,689.5356,46.014416503906205
2027-08-11 00:00:00,675.91,704.18445,-28.274448242187532
2027-08-11 01:00:00,736.52,742.3922,-5.872211914062518
2027-08-11 02:00:00,752.6,758.91766,-6.317663574218727
2027-08-11 03:00:00,757.51,753.5562,3.953786621093741
2027-08-11 04:00:00,723.04,769.0539,-46.013894042968786
2027-08-11 05:00:00,768.88,749.57245,19.307551269531245
2027-08-11 06:00:00,640.94,668.9083,-27.968325195312445
2027-08-11 07:00:00,729.66,714.4371,15.222927246093718
2027-08-11 08:00:00,1637.05,1653.0228,-15.972827148437545
2027-08-11 09:00:00,2764.39,2677.5283,86.86167968749987
